participant_id,age,gender,education,income,risk_score,loss_aversion,scenario_id,sure_amount,risky_amount,risky_prob,ev_risky,chose_risky
9,40,Male,Bachelor's,$100k+,5.02,4.01,3,3,20,0.25,5.0,1
9,40,Male,Bachelor's,$100k+,5.02,4.01,4,8,14,0.7,9.8,0
10,28,Male,Some college,$20k–50k,5.02,4.0,1,5,12,0.5,6.0,1
10,28,Male,Some college,$20k–50k,5.02,4.0,2,10,18,0.6,10.8,1
10,28,Male,Some college,$20k–50k,5.02,4.0,3,3,20,0.25,5.0,0
10,28,Male,Some college,$20k–50k,5.02,4.0,4,8,14,0.7,9.8,0
11,28,Male,Bachelor's,$100k+,4.04,5.65,1,5,12,0.5,6.0,0
11,28,Male,Bachelor's,$100k+,4.04,5.65,2,10,18,0.6,10.8,0
11,28,Male,Bachelor's,$100k+,4.04,5.65,3,3,20,0.25,5.0,1
11,28,Male,Bachelor's,$100k+,4.04,5.65,4,8,14,0.7,9.8,0
12,41,Female,Bachelor's,$50k–100k,3.53,4.8,1,5,12,0.5,6.0,0
12,41,Female,Bachelor's,$50k–100k,3.53,4.8,2,10,18,0.6,10.8,0
12,41,Female,Bachelor's,$50k–100k,3.53,4.8,3,3,20,0.25,5.0,0
12,41,Female,Bachelor's,$50k–100k,3.53,4.8,4,8,14,0.7,9.8,0
13,53,Male,High school,$20k–50k,4.55,5.77,1,5,12,0.5,6.0,0
13,53,Male,High school,$20k–50k,4.55,5.77,2,10,18,0.6,10.8,0
13,53,Male,High school,$20k–50k,4.55,5.77,3,3,20,0.25,5.0,1
13,53,Male,High school,$20k–50k,4.55,5.77,4,8,14,0.7,9.8,1
14,57,Male,Some college,$100k+,4.27,4.79,1,5,12,0.5,6.0,1
14,57,Male,Some college,$100k+,4.27,4.79,2,10,18,0.6,10.8,0
14,57,Male,Some college,$100k+,4.27,4.79,3,3,20,0.25,5.0,1
14,57,Male,Some college,$100k+,4.27,4.79,4,8,14,0.7,9.8,0
15,41,Female,Master's,$20k–50k,4.04,3.34,1,5,12,0.5,6.0,0
15,41,Female,Master's,$20k–50k,4.04,3.34,2,10,18,0.6,10.8,1
15,41,Female,Master's,$20k–50k,4.04,3.34,3,3,20,0.25,5.0,0
15,41,Female,Master's,$20k–50k,4.04,3.34,4,8,14,0.7,9.8,0
16,20,Male,Bachelor's,$50k–100k,3.62,3.17,1,5,12,0.5,6.0,1
16,20,Male,Bachelor's,$50k–100k,3.62,3.17,2,10,18,0.6,10.8,0
16,20,Male,Bachelor's,$50k–100k,3.62,3.17,3,3,20,0.25,5.0,0
16,20,Male,Bachelor's,$50k–100k,3.62,3.17,4,8,14,0.7,9.8,0
17,39,Female,High school,$20k–50k,3.86,2.95,1,5,12,0.5,6.0,0
17,39,Female,High school,$20k–50k,3.86,2.95,2,10,18,0.6,10.8,0
17,39,Female,High school,$20k–50k,3.86,2.95,3,3,20,0.25,5.0,1
17,39,Female,High school,$20k–50k,3.86,2.95,4,8,14,0.7,9.8,0
18,19,Male,Some college,$50k–100k,4.23,5.16,1,5,12,0.5,6.0,0
18,19,Male,Some college,$50k–100k,4.23,5.16,2,10,18,0.6,10.8,0
18,19,Male,Some college,$50k–100k,4.23,5.16,3,3,20,0.25,5.0,0
18,19,Male,Some college,$50k–100k,4.23,5.16,4,8,14,0.7,9.8,0
19,41,Male,Some college,$20k–50k,3.63,5.69,1,5,12,0.5,6.0,0
19,41,Male,Some college,$20k–50k,3.63,5.69,2,10,18,0.6,10.8,0
19,41,Male,Some college,$20k–50k,3.63,5.69,3,3,20,0.25,5.0,0
19,41,Male,Some college,$20k–50k,3.63,5.69,4,8,14,0.7,9.8,0
20,61,Female,Bachelor's,$20k–50k,4.11,6.35,1,5,12,0.5,6.0,1
20,61,Female,Bachelor's,$20k–50k,4.11,6.35,2,10,18,0.6,10.8,0
20,61,Female,Bachelor's,$20k–50k,4.11,6.35,3,3,20,0.25,5.0,0
20,61,Female,Bachelor's,$20k–50k,4.11,6.35,4,8,14,0.7,9.8,0
21,47,Female,High school,$100k+,3.9,5.34,1,5,12,0.5,6.0,0
21,47,Female,High school,$100k+,3.9,5.34,2,10,18,0.6,10.8,0
21,47,Female,High school,$100k+,3.9,5.34,3,3,20,0.25,5.0,0
21,47,Female,High school,$100k+,3.9,5.34,4,8,14,0.7,9.8,1
22,55,Female,High school,$20k–50k,3.28,5.66,1,5,12,0.5,6.0,1
22,55,Female,High school,$20k–50k,3.28,5.66,2,10,18,0.6,10.8,0
22,55,Female,High school,$20k–50k,3.28,5.66,3,3,20,0.25,5.0,0
22,55,Female,High school,$20k–50k,3.28,5.66,4,8,14,0.7,9.8,0
23,19,Female,Master's,$50k–100k,3.69,3.92,1,5,12,0.5,6.0,0
23,19,Female,Master's,$50k–100k,3.69,3.92,2,10,18,0.6,10.8,0
23,19,Female,Master's,$50k–100k,3.69,3.92,3,3,20,0.25,5.0,0
23,19,Female,Master's,$50k–100k,3.69,3.92,4,8,14,0.7,9.8,0
24,38,Female,Some college,$20k–50k,4.3,3.34,1,5,12,0.5,6.0,0
24,38,Female,Some college,$20k–50k,4.3,3.34,2,10,18,0.6,10.8,1
24,38,Female,Some college,$20k–50k,4.3,3.34,3,3,20,0.25,5.0,0
24,38,Female,Some college,$20k–50k,4.3,3.34,4,8,14,0.7,9.8,0
25,50,Male,Bachelor's,$50k–100k,3.1,5.35,1,5,12,0.5,6.0,0
25,50,Male,Bachelor's,$50k–100k,3.1,5.35,2,10,18,0.6,10.8,0
25,50,Male,Bachelor's,$50k–100k,3.1,5.35,3,3,20,0.25,5.0,0
25,50,Male,Bachelor's,$50k–100k,3.1,5.35,4,8,14,0.7,9.8,0
26,29,Male,Some college,<$20k,4.13,4.92,1,5,12,0.5,6.0,0
26,29,Male,Some college,<$20k,4.13,4.92,2,10,18,0.6,10.8,1
26,29,Male,Some college,<$20k,4.13,4.92,3,3,20,0.25,5.0,1
26,29,Male,Some college,<$20k,4.13,4.92,4,8,14,0.7,9.8,0
27,39,Female,High school,$100k+,3.81,4.61,1,5,12,0.5,6.0,1
27,39,Female,High school,$100k+,3.81,4.61,2,10,18,0.6,10.8,0
27,39,Female,High school,$100k+,3.81,4.61,3,3,20,0.25,5.0,0
27,39,Female,High school,$100k+,3.81,4.61,4,8,14,0.7,9.8,0
28,61,Female,Some college,$50k–100k,4.08,4.89,1,5,12,0.5,6.0,0
28,61,Female,Some college,$50k–100k,4.08,4.89,2,10,18,0.6,10.8,1
28,61,Female,Some college,$50k–100k,4.08,4.89,3,3,20,0.25,5.0,0
28,61,Female,Some college,$50k–100k,4.08,4.89,4,8,14,0.7,9.8,1
29,42,Non-binary,Master's,$20k–50k,4.25,4.82,1,5,12,0.5,6.0,0
29,42,Non-binary,Master's,$20k–50k,4.25,4.82,2,10,18,0.6,10.8,1
29,42,Non-binary,Master's,$20k–50k,4.25,4.82,3,3,20,0.25,5.0,0
29,42,Non-binary,Master's,$20k–50k,4.25,4.82,4,8,14,0.7,9.8,0
30,44,Male,Master's,<$20k,3.79,5.78,1,5,12,0.5,6.0,0
30,44,Male,Master's,<$20k,3.79,5.78,2,10,18,0.6,10.8,0
30,44,Male,Master's,<$20k,3.79,5.78,3,3,20,0.25,5.0,1
30,44,Male,Master's,<$20k,3.79,5.78,4,8,14,0.7,9.8,0
31,59,Male,Master's,$20k–50k,4.81,5.79,1,5,12,0.5,6.0,0
31,59,Male,Master's,$20k–50k,4.81,5.79,2,10,18,0.6,10.8,0
31,59,Male,Master's,$20k–50k,4.81,5.79,3,3,20,0.25,5.0,1
31,59,Male,Master's,$20k–50k,4.81,5.79,4,8,14,0.7,9.8,0
32,45,Female,Bachelor's,$50k–100k,4.19,5.04,1,5,12,0.5,6.0,0
32,45,Female,Bachelor's,$50k–100k,4.19,5.04,2,10,18,0.6,10.8,0
32,45,Female,Bachelor's,$50k–100k,4.19,5.04,3,3,20,0.25,5.0,0
32,45,Female,Bachelor's,$50k–100k,4.19,5.04,4,8,14,0.7,9.8,0
33,33,Male,Bachelor's,$20k–50k,3.95,5.35,1,5,12,0.5,6.0,1
33,33,Male,Bachelor's,$20k–50k,3.95,5.35,2,10,18,0.6,10.8,0
33,33,Male,Bachelor's,$20k–50k,3.95,5.35,3,3,20,0.25,5.0,0
33,33,Male,Bachelor's,$20k–50k,3.95,5.35,4,8,14,0.7,9.8,0
34,32,Female,Some college,$100k+,4.24,5.01,1,5,12,0.5,6.0,0
34,32,Female,Some college,$100k+,4.24,5.01,2,10,18,0.6,10.8,1
34,32,Female,Some college,$100k+,4.24,5.01,3,3,20,0.25,5.0,0
34,32,Female,Some college,$100k+,4.24,5.01,4,8,14,0.7,9.8,0
35,64,Female,Some college,$20k–50k,5.08,4.04,1,5,12,0.5,6.0,0
35,64,Female,Some college,$20k–50k,5.08,4.04,2,10,18,0.6,10.8,0
35,64,Female,Some college,$20k–50k,5.08,4.04,3,3,20,0.25,5.0,1
35,64,Female,Some college,$20k–50k,5.08,4.04,4,8,14,0.7,9.8,1
36,61,Male,Master's,$20k–50k,4.27,5.26,1,5,12,0.5,6.0,1
36,61,Male,Master's,$20k–50k,4.27,5.26,2,10,18,0.6,10.8,0
36,61,Male,Master's,$20k–50k,4.27,5.26,3,3,20,0.25,5.0,0
36,61,Male,Master's,$20k–50k,4.27,5.26,4,8,14,0.7,9.8,0
37,20,Female,High school,$50k–100k,3.72,3.11,1,5,12,0.5,6.0,1
37,20,Female,High school,$50k–100k,3.72,3.11,2,10,18,0.6,10.8,1
37,20,Female,High school,$50k–100k,3.72,3.11,3,3,20,0.25,5.0,0
37,20,Female,High school,$50k–100k,3.72,3.11,4,8,14,0.7,9.8,0
38,54,Female,High school,$50k–100k,4.23,5.55,1,5,12,0.5,6.0,0
38,54,Female,High school,$50k–100k,4.23,5.55,2,10,18,0.6,10.8,1
38,54,Female,High school,$50k–100k,4.23,5.55,3,3,20,0.25,5.0,0
38,54,Female,High school,$50k–100k,4.23,5.55,4,8,14,0.7,9.8,0
39,24,Male,Some college,$20k–50k,3.87,3.31,1,5,12,0.5,6.0,1
39,24,Male,Some college,$20k–50k,3.87,3.31,2,10,18,0.6,10.8,1
39,24,Male,Some college,$20k–50k,3.87,3.31,3,3,20,0.25,5.0,1
39,24,Male,Some college,$20k–50k,3.87,3.31,4,8,14,0.7,9.8,0
40,38,Female,High school,$20k–50k,4.74,4.79,1,5,12,0.5,6.0,1
40,38,Female,High school,$20k–50k,4.74,4.79,2,10,18,0.6,10.8,0
40,38,Female,High school,$20k–50k,4.74,4.79,3,3,20,0.25,5.0,0
40,38,Female,High school,$20k–50k,4.74,4.79,4,8,14,0.7,9.8,1
41,26,Female,Some college,<$20k,3.83,3.65,1,5,12,0.5,6.0,0
41,26,Female,Some college,<$20k,3.83,3.65,2,10,18,0.6,10.8,0
41,26,Female,Some college,<$20k,3.83,3.65,3,3,20,0.25,5.0,0
41,26,Female,Some college,<$20k,3.83,3.65,4,8,14,0.7,9.8,0
42,56,Female,Bachelor's,$50k–100k,3.93,5.05,1,5,12,0.5,6.0,0
42,56,Female,Bachelor's,$50k–100k,3.93,5.05,2,10,18,0.6,10.8,0
42,56,Female,Bachelor's,$50k–100k,3.93,5.05,3,3,20,0.25,5.0,0
42,56,Female,Bachelor's,$50k–100k,3.93,5.05,4,8,14,0.7,9.8,0
43,35,Male,Bachelor's,$50k–100k,4.22,4.47,1,5,12,0.5,6.0,1
43,35,Male,Bachelor's,$50k–100k,4.22,4.47,2,10,18,0.6,10.8,0
43,35,Male,Bachelor's,$50k–100k,4.22,4.47,3,3,20,0.25,5.0,1
43,35,Male,Bachelor's,$50k–100k,4.22,4.47,4,8,14,0.7,9.8,0
44,21,Female,Master's,$50k–100k,4.55,2.91,1,5,12,0.5,6.0,1
44,21,Female,Master's,$50k–100k,4.55,2.91,2,10,18,0.6,10.8,0
44,21,Female,Master's,$50k–100k,4.55,2.91,3,3,20,0.25,5.0,1
44,21,Female,Master's,$50k–100k,4.55,2.91,4,8,14,0.7,9.8,1
45,42,Male,Master's,$100k+,4.49,4.92,1,5,12,0.5,6.0,0
45,42,Male,Master's,$100k+,4.49,4.92,2,10,18,0.6,10.8,0
45,42,Male,Master's,$100k+,4.49,4.92,3,3,20,0.25,5.0,1
45,42,Male,Master's,$100k+,4.49,4.92,4,8,14,0.7,9.8,0
46,31,Male,Some college,$100k+,3.71,3.92,1,5,12,0.5,6.0,1
46,31,Male,Some college,$100k+,3.71,3.92,2,10,18,0.6,10.8,1
46,31,Male,Some college,$100k+,3.71,3.92,3,3,20,0.25,5.0,0
46,31,Male,Some college,$100k+,3.71,3.92,4,8,14,0.7,9.8,0
47,26,Female,Some college,$50k–100k,4.38,5.38,1,5,12,0.5,6.0,0
47,26,Female,Some college,$50k–100k,4.38,5.38,2,10,18,0.6,10.8,0
47,26,Female,Some college,$50k–100k,4.38,5.38,3,3,20,0.25,5.0,0
47,26,Female,Some college,$50k–100k,4.38,5.38,4,8,14,0.7,9.8,1
48,43,Male,Bachelor's,$100k+,4.53,4.5,1,5,12,0.5,6.0,0
48,43,Male,Bachelor's,$100k+,4.53,4.5,2,10,18,0.6,10.8,0
48,43,Male,Bachelor's,$100k+,4.53,4.5,3,3,20,0.25,5.0,1
48,43,Male,Bachelor's,$100k+,4.53,4.5,4,8,14,0.7,9.8,1
49,19,Male,Bachelor's,$20k–50k,3.66,4.9,1,5,12,0.5,6.0,0
49,19,Male,Bachelor's,$20k–50k,3.66,4.9,2,10,18,0.6,10.8,0
49,19,Male,Bachelor's,$20k–50k,3.66,4.9,3,3,20,0.25,5.0,0
49,19,Male,Bachelor's,$20k–50k,3.66,4.9,4,8,14,0.7,9.8,0
50,37,Female,Some college,<$20k,4.05,3.54,1,5,12,0.5,6.0,0
50,37,Female,Some college,<$20k,4.05,3.54,2,10,18,0.6,10.8,0
50,37,Female,Some college,<$20k,4.05,3.54,3,3,20,0.25,5.0,0
50,37,Female,Some college,<$20k,4.05,3.54,4,8,14,0.7,9.8,0
51,45,Female,Bachelor's,$20k–50k,4.4,3.91,1,5,12,0.5,6.0,1
51,45,Female,Bachelor's,$20k–50k,4.4,3.91,2,10,18,0.6,10.8,1
51,45,Female,Bachelor's,$20k–50k,4.4,3.91,3,3,20,0.25,5.0,0
51,45,Female,Bachelor's,$20k–50k,4.4,3.91,4,8,14,0.7,9.8,1
52,64,Female,Bachelor's,<$20k,3.38,4.04,1,5,12,0.5,6.0,0
52,64,Female,Bachelor's,<$20k,3.38,4.04,2,10,18,0.6,10.8,1
52,64,Female,Bachelor's,<$20k,3.38,4.04,3,3,20,0.25,5.0,0
52,64,Female,Bachelor's,<$20k,3.38,4.04,4,8,14,0.7,9.8,0
53,24,Female,Bachelor's,$50k–100k,5.13,5.36,1,5,12,0.5,6.0,0
53,24,Female,Bachelor's,$50k–100k,5.13,5.36,2,10,18,0.6,10.8,0
53,24,Female,Bachelor's,$50k–100k,5.13,5.36,3,3,20,0.25,5.0,0
53,24,Female,Bachelor's,$50k–100k,5.13,5.36,4,8,14,0.7,9.8,1
54,61,Male,Bachelor's,$100k+,3.95,6.18,1,5,12,0.5,6.0,0
54,61,Male,Bachelor's,$100k+,3.95,6.18,2,10,18,0.6,10.8,0
54,61,Male,Bachelor's,$100k+,3.95,6.18,3,3,20,0.25,5.0,0
54,61,Male,Bachelor's,$100k+,3.95,6.18,4,8,14,0.7,9.8,0
55,25,Male,Some college,<$20k,4.88,3.69,1,5,12,0.5,6.0,1
55,25,Male,Some college,<$20k,4.88,3.69,2,10,18,0.6,10.8,1
55,25,Male,Some college,<$20k,4.88,3.69,3,3,20,0.25,5.0,0
55,25,Male,Some college,<$20k,4.88,3.69,4,8,14,0.7,9.8,1
56,64,Male,PhD,<$20k,3.37,5.58,1,5,12,0.5,6.0,1
56,64,Male,PhD,<$20k,3.37,5.58,2,10,18,0.6,10.8,0
56,64,Male,PhD,<$20k,3.37,5.58,3,3,20,0.25,5.0,1
56,64,Male,PhD,<$20k,3.37,5.58,4,8,14,0.7,9.8,0
57,52,Female,Master's,$50k–100k,3.33,2.33,1,5,12,0.5,6.0,0
57,52,Female,Master's,$50k–100k,3.33,2.33,2,10,18,0.6,10.8,1
57,52,Female,Master's,$50k–100k,3.33,2.33,3,3,20,0.25,5.0,0
57,52,Female,Master's,$50k–100k,3.33,2.33,4,8,14,0.7,9.8,1
58,31,Female,High school,$100k+,3.84,3.31,1,5,12,0.5,6.0,0
58,31,Female,High school,$100k+,3.84,3.31,2,10,18,0.6,10.8,0
58,31,Female,High school,$100k+,3.84,3.31,3,3,20,0.25,5.0,0
58,31,Female,High school,$100k+,3.84,3.31,4,8,14,0.7,9.8,0
59,34,Female,Master's,$20k–50k,3.64,3.54,1,5,12,0.5,6.0,0
59,34,Female,Master's,$20k–50k,3.64,3.54,2,10,18,0.6,10.8,1
59,34,Female,Master's,$20k–50k,3.64,3.54,3,3,20,0.25,5.0,0
59,34,Female,Master's,$20k–50k,3.64,3.54,4,8,14,0.7,9.8,0
60,53,Female,Bachelor's,$50k–100k,4.36,3.15,1,5,12,0.5,6.0,1
60,53,Female,Bachelor's,$50k–100k,4.36,3.15,2,10,18,0.6,10.8,0
60,53,Female,Bachelor's,$50k–100k,4.36,3.15,3,3,20,0.25,5.0,1
60,53,Female,Bachelor's,$50k–100k,4.36,3.15,4,8,14,0.7,9.8,0
61,57,Male,Master's,<$20k,3.03,2.92,1,5,12,0.5,6.0,1
61,57,Male,Master's,<$20k,3.03,2.92,2,10,18,0.6,10.8,1
61,57,Male,Master's,<$20k,3.03,2.92,3,3,20,0.25,5.0,1
61,57,Male,Master's,<$20k,3.03,2.92,4,8,14,0.7,9.8,0
62,21,Female,Master's,<$20k,4.3,4.91,1,5,12,0.5,6.0,0
62,21,Female,Master's,<$20k,4.3,4.91,2,10,18,0.6,10.8,0
62,21,Female,Master's,<$20k,4.3,4.91,3,3,20,0.25,5.0,1
62,21,Female,Master's,<$20k,4.3,4.91,4,8,14,0.7,9.8,0
63,19,Male,Bachelor's,$100k+,2.95,4.29,1,5,12,0.5,6.0,0
63,19,Male,Bachelor's,$100k+,2.95,4.29,2,10,18,0.6,10.8,1
63,19,Male,Bachelor's,$100k+,2.95,4.29,3,3,20,0.25,5.0,0
63,19,Male,Bachelor's,$100k+,2.95,4.29,4,8,14,0.7,9.8,1
64,23,Female,High school,$100k+,3.94,4.88,1,5,12,0.5,6.0,1
64,23,Female,High school,$100k+,3.94,4.88,2,10,18,0.6,10.8,0
64,23,Female,High school,$100k+,3.94,4.88,3,3,20,0.25,5.0,0
64,23,Female,High school,$100k+,3.94,4.88,4,8,14,0.7,9.8,1
65,59,Male,Some college,<$20k,4.24,5.19,1,5,12,0.5,6.0,1
65,59,Male,Some college,<$20k,4.24,5.19,2,10,18,0.6,10.8,1
65,59,Male,Some college,<$20k,4.24,5.19,3,3,20,0.25,5.0,0
65,59,Male,Some college,<$20k,4.24,5.19,4,8,14,0.7,9.8,0
66,21,Female,Bachelor's,$100k+,3.99,4.77,1,5,12,0.5,6.0,0
66,21,Female,Bachelor's,$100k+,3.99,4.77,2,10,18,0.6,10.8,1
66,21,Female,Bachelor's,$100k+,3.99,4.77,3,3,20,0.25,5.0,0
66,21,Female,Bachelor's,$100k+,3.99,4.77,4,8,14,0.7,9.8,1
67,46,Male,Bachelor's,$50k–100k,3.46,5.16,1,5,12,0.5,6.0,0
67,46,Male,Bachelor's,$50k–100k,3.46,5.16,2,10,18,0.6,10.8,0
67,46,Male,Bachelor's,$50k–100k,3.46,5.16,3,3,20,0.25,5.0,0
67,46,Male,Bachelor's,$50k–100k,3.46,5.16,4,8,14,0.7,9.8,0
68,35,Male,Some college,$100k+,4.19,4.43,1,5,12,0.5,6.0,0
68,35,Male,Some college,$100k+,4.19,4.43,2,10,18,0.6,10.8,0
68,35,Male,Some college,$100k+,4.19,4.43,3,3,20,0.25,5.0,1
68,35,Male,Some college,$100k+,4.19,4.43,4,8,14,0.7,9.8,0
69,43,Male,High school,$50k–100k,4.24,3.31,1,5,12,0.5,6.0,0
69,43,Male,High school,$50k–100k,4.24,3.31,2,10,18,0.6,10.8,1
69,43,Male,High school,$50k–100k,4.24,3.31,3,3,20,0.25,5.0,0
69,43,Male,High school,$50k–100k,4.24,3.31,4,8,14,0.7,9.8,1
70,61,Female,Master's,$50k–100k,4.47,5.56,1,5,12,0.5,6.0,1
70,61,Female,Master's,$50k–100k,4.47,5.56,2,10,18,0.6,10.8,0
70,61,Female,Master's,$50k–100k,4.47,5.56,3,3,20,0.25,5.0,1
70,61,Female,Master's,$50k–100k,4.47,5.56,4,8,14,0.7,9.8,1
71,51,Female,PhD,$50k–100k,4.17,3.91,1,5,12,0.5,6.0,0
71,51,Female,PhD,$50k–100k,4.17,3.91,2,10,18,0.6,10.8,0
71,51,Female,PhD,$50k–100k,4.17,3.91,3,3,20,0.25,5.0,1
71,51,Female,PhD,$50k–100k,4.17,3.91,4,8,14,0.7,9.8,1
72,27,Male,Bachelor's,$50k–100k,3.53,3.56,1,5,12,0.5,6.0,0
72,27,Male,Bachelor's,$50k–100k,3.53,3.56,2,10,18,0.6,10.8,0
72,27,Male,Bachelor's,$50k–100k,3.53,3.56,3,3,20,0.25,5.0,0
72,27,Male,Bachelor's,$50k–100k,3.53,3.56,4,8,14,0.7,9.8,1
73,53,Male,Some college,<$20k,3.89,4.32,1,5,12,0.5,6.0,0
73,53,Male,Some college,<$20k,3.89,4.32,2,10,18,0.6,10.8,1
73,53,Male,Some college,<$20k,3.89,4.32,3,3,20,0.25,5.0,0
73,53,Male,Some college,<$20k,3.89,4.32,4,8,14,0.7,9.8,0
74,31,Female,Some college,<$20k,4.2,3.59,1,5,12,0.5,6.0,0
74,31,Female,Some college,<$20k,4.2,3.59,2,10,18,0.6,10.8,1
74,31,Female,Some college,<$20k,4.2,3.59,3,3,20,0.25,5.0,1
74,31,Female,Some college,<$20k,4.2,3.59,4,8,14,0.7,9.8,0
75,48,Male,High school,$20k–50k,3.94,4.08,1,5,12,0.5,6.0,0
75,48,Male,High school,$20k–50k,3.94,4.08,2,10,18,0.6,10.8,0
75,48,Male,High school,$20k–50k,3.94,4.08,3,3,20,0.25,5.0,0
75,48,Male,High school,$20k–50k,3.94,4.08,4,8,14,0.7,9.8,0
76,32,Female,PhD,$50k–100k,4.07,4.84,1,5,12,0.5,6.0,0
76,32,Female,PhD,$50k–100k,4.07,4.84,2,10,18,0.6,10.8,1
76,32,Female,PhD,$50k–100k,4.07,4.84,3,3,20,0.25,5.0,0
76,32,Female,PhD,$50k–100k,4.07,4.84,4,8,14,0.7,9.8,1
77,25,Female,High school,$20k–50k,4.43,4.85,1,5,12,0.5,6.0,0
77,25,Female,High school,$20k–50k,4.43,4.85,2,10,18,0.6,10.8,0
77,25,Female,High school,$20k–50k,4.43,4.85,3,3,20,0.25,5.0,0
77,25,Female,High school,$20k–50k,4.43,4.85,4,8,14,0.7,9.8,0
78,31,Male,Bachelor's,$50k–100k,3.32,3.6,1,5,12,0.5,6.0,1
78,31,Male,Bachelor's,$50k–100k,3.32,3.6,2,10,18,0.6,10.8,1
78,31,Male,Bachelor's,$50k–100k,3.32,3.6,3,3,20,0.25,5.0,0
78,31,Male,Bachelor's,$50k–100k,3.32,3.6,4,8,14,0.7,9.8,0
79,40,Male,Some college,$100k+,4.55,4.01,1,5,12,0.5,6.0,1
79,40,Male,Some college,$100k+,4.55,4.01,2,10,18,0.6,10.8,0
79,40,Male,Some college,$100k+,4.55,4.01,3,3,20,0.25,5.0,0
79,40,Male,Some college,$100k+,4.55,4.01,4,8,14,0.7,9.8,0
80,57,Non-binary,Bachelor's,<$20k,3.34,5.57,1,5,12,0.5,6.0,0
80,57,Non-binary,Bachelor's,<$20k,3.34,5.57,2,10,18,0.6,10.8,0
80,57,Non-binary,Bachelor's,<$20k,3.34,5.57,3,3,20,0.25,5.0,0
80,57,Non-binary,Bachelor's,<$20k,3.34,5.57,4,8,14,0.7,9.8,0
81,38,Male,Bachelor's,$50k–100k,3.51,5.0,1,5,12,0.5,6.0,0
81,38,Male,Bachelor's,$50k–100k,3.51,5.0,2,10,18,0.6,10.8,0
81,38,Male,Bachelor's,$50k–100k,3.51,5.0,3,3,20,0.25,5.0,1
81,38,Male,Bachelor's,$50k–100k,3.51,5.0,4,8,14,0.7,9.8,0
82,33,Male,Master's,$20k–50k,4.35,6.58,1,5,12,0.5,6.0,0
82,33,Male,Master's,$20k–50k,4.35,6.58,2,10,18,0.6,10.8,0
82,33,Male,Master's,$20k–50k,4.35,6.58,3,3,20,0.25,5.0,0
82,33,Male,Master's,$20k–50k,4.35,6.58,4,8,14,0.7,9.8,0
